lon,lat,jiaodu
125.9175,43.7375,320
125.895,44.11,320
126.0262,44.0581,320
126.1575,44.0062,320
126.2888,43.9544,320
126.3,44.34,320
126.42,44.2838,320
126.54,44.2275,320
126.66,44.1712,320
126.705,44.57,320
126.8138,44.5094,320
126.9225,44.4488,320
127.0312,44.3881,320
127.12,44.8,315
128.43,45.63,315
128.5433,45.56,315
128.6567,45.49,315
128.7533,45.8833,315
128.86,45.8156,315
128.9667,45.7478,315
129.0767,46.1367,315
129.1767,46.0711,315
129.2767,46.0056,315
129.32,46.45,315
130.91,48.38,355
131.23,45.05,50
114.18,44.12,330
114.274,44.008,330
114.368,43.896,330
114.462,43.784,330
114.556,43.672,330
114.62,44.274,330
114.7104,44.1644,330
114.8008,44.0548,330
114.8912,43.9452,330
114.9816,43.8356,330
115.06,44.428,330
115.1468,44.3208,330
115.2336,44.2136,330
115.3204,44.1064,330
115.4072,43.9992,330
115.5,44.582,330
115.5832,44.4772,330
115.6664,44.3724,330
115.7496,44.2676,330
115.8328,44.1628,330
115.94,44.736,330
116.0196,44.6336,330
116.0992,44.5312,330
116.1788,44.4288,330
116.2584,44.3264,330
132.86,45.36,280
129.89,43.3,310
130.36,41.91,295
129.73,42.36,320
129.63,42.4233,320
129.53,42.4867,320
129.4533,42.1567,320
129.3589,42.2233,320
129.2644,42.29,320
129.1767,41.9533,320
129.0878,42.0233,320
128.9989,42.0933,320
128.42,41.61,10
128.105,41.65,10
127.79,41.69,10
127.475,41.73,10
128.3833,41.5,10
128.0708,41.5408,10
127.7583,41.5817,10
127.4458,41.6225,10
128.3467,41.39,10
128.0367,41.4317,10
127.7267,41.4733,10
127.4167,41.515,10
127.55,42.44,315
126.11,42.46,325
126.3467,42.5667,325
126.5833,42.6733,325
126.82,42.78,325
127.0567,42.8867,325
127.2933,42.9933,325
126.0133,42.55,325
126.2528,42.6539,325
126.4922,42.7578,325
126.7317,42.8617,325
126.9711,42.9656,325
127.2106,43.0694,325
125.9167,42.64,325
126.1589,42.7411,325
126.4011,42.8422,325
126.6433,42.9433,325
126.8856,43.0444,325
127.1278,43.1456,325
125.82,42.73,55
119.93,42.25,300
119.784,42.294,300
119.638,42.338,300
119.492,42.382,300
119.346,42.426,300
119.822,42.08,300
119.6776,42.1268,300
119.5332,42.1736,300
119.3888,42.2204,300
119.2444,42.2672,300
119.714,41.91,300
119.5712,41.9596,300
119.4284,42.0092,300
119.2856,42.0588,300
119.1428,42.1084,300
119.606,41.74,300
119.4648,41.7924,300
119.3236,41.8448,300
119.1824,41.8972,300
119.0412,41.9496,300
119.498,41.57,300
119.3584,41.6252,300
119.2188,41.6804,300
119.0792,41.7356,300
118.9396,41.7908,300
120.23,41.52,300
113.38,42.82,45
113.17,42.9625,45
112.96,43.105,45
112.75,43.2475,45
113.2825,42.74,45
113.0719,42.8838,45
112.8613,43.0275,45
112.6506,43.1712,45
113.185,42.66,45
112.9738,42.805,45
112.7625,42.95,45
112.5512,43.095,45
113.0875,42.58,45
112.8756,42.7262,45
112.6638,42.8725,45
112.4519,43.0188,45
122.37,42.17,310
119.99,42.99,305
120.11,42.94,305
120.23,42.89,305
120.5533,43.7167,305
120.6856,43.6522,305
120.8178,43.5878,305
121.1167,44.4433,305
121.2611,44.3644,305
121.4056,44.2856,305
125.1,44.77,350
125.44,44.79,350
125.1867,44.86,350
125.4933,44.88,350
125.2733,44.95,350
125.5467,44.97,350
124.48,45.24,40
123.96,45.54,40
118.87,50.42,300
119.0375,50.3675,300
119.205,50.315,300
119.3725,50.2625,300
119.16,50.775,300
119.3194,50.7219,300
119.4788,50.6688,300
